KEIO STE ID,Status,Safecast ID,Sensor Type,Inspector SN,Feed ID,Feed (Pachube/Safecast),Device ID,Type,Firmware Version,nGeigie ID,Inuse,,Location,Latitude,Longitude,Height(m),Indoor/Outdoor,Action needed,,,,,,,,,,,,,,,,,,,,,,
#0104,,,Inspector Alert,,42911,http://www.pachube.com/feeds/42911,KEIOSTE116,WiFi,12/23/11,,shipped,,"Yanaichuo, Softbank",33.96633,132.100797,,,,,,,,,,,,,,,,,,,,,,,,,
#0105,,,Inspector Alert,,42912,http://www.pachube.com/feeds/42912,KEIOSTE117,WiFi,12/23/11,,shipped,1/14/12,"FukuokaTenjin, Softbank",33.586877,130.397124,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0106,,,Inspector Alert,,42913,http://www.pachube.com/feeds/42913,KEIOSTE118,WiFi,12/23/11,,shipped,1/14/12,"Kengun, Softbank",32.777998,130.773985,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0107,,,Inspector Alert,,42914,http://www.pachube.com/feeds/42914,KEIOSTE119,WiFi,12/23/11,,shipped,1/17/12,"Ohita, Softbank",33.234569,131.607958,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0108,,,Inspector Alert,,42915,http://www.pachube.com/feeds/42915,KEIOSTE120,WiFi,12/23/11,,shipped,1/14/12,"KankoDori, Softbank",32.745058,129.878667,0,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0109,,,Inspector Alert,,42916,http://www.pachube.com/feeds/42916,KEIOSTE121,WiFi,12/23/11,,shipped,1/14/12,"Yoichi, Softbank",140.801158,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0110,,,Inspector Alert,,42917,http://www.pachube.com/feeds/42917,KEIOSTE122,WiFi,12/23/11,,shipped,1/16/12,"NiigataBandai, Softbank",37.914617,139.056693,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0111,,,Inspector Alert,,42918,http://www.pachube.com/feeds/42918,KEIOSTE123,WiFi,12/23/11,,shipped,1/16/12,"Hirodaimae, Softbank",132.715057,0.85,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0112,,,Inspector Alert,,42919,http://www.pachube.com/feeds/42919,KEIOSTE124,WiFi,12/23/11,,shipped,1/15/11,"HiroshimaParco, Softbank",132.46177,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0113,,,Inspector Alert,,42920,http://www.pachube.com/feeds/42920,KEIOSTE125,WiFi,12/23/11,,shipped,1/20/12,"Kiitanabe, Softbank",33.732936,135.382526,0,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0114,,,Inspector Alert,,42921,http://www.pachube.com/feeds/42921,KEIOSTE126,WiFi,12/23/11,,shipped,1/7/12,"MidosujisenUmeda, Softbank",34.702463,135.49819,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,
